0,1,2,3,4,5,6,7,8,9,10,11,12
AKR,26.02118478359364,9999,9999,0.8849307872644675,28.62370748598439,0.9734376128780488,9999,1.6012865460947998,9999,0.906082525107604,25.33,0
AKRX,6.549771588645107,158182500.0,9999,1.4701216836225812,1.1903776534250963,0.2671848897805621,9999,3.9065307168693573,2.910871236934294,1.8259511904529386,1.75,0
AKS,0.28804768062467284,1595418109.91,9999,-0.02718717323109097,-532.236282051282,50.234738806504964,9999,2.1075927424014793,0.8202935398127817,40.13561190738699,14.47,1
AL,32.76040217475974,2823694472.7400002,0.00727947028208553,3.3776026222069873,8.130026847876241,0.8382070480550011,0.19989425394606866,0.8164925876010781,9999,2.662382653590709,27.46,0
ALB,35.68107852498195,15050612622.710001,0.008993188742082476,5.667999260322464,24.031407511554747,3.817429450868005,1.2249622385590542,2.9002800624154133,2.5053482009958747,1.376840281194865,136.21,0
ALCO,21.63693145750064,272238572.40000004,0.0073207847897163005,0.839596590226918,39.542799942799945,1.5344135126189957,0.2430500550185812,3.847895920334083,0.7175286433236964,1.5140382468599765,33.2,0
ALE,37.08880651198721,9999,9999,3.1184738955823295,13.73428203477141,1.1547958542736396,9999,0.737171464330413,0.47634543178973715,0.8795034337031168,42.83,0
ALEX,24.890003570617424,2052895768.1100001,0.0059915365363746665,-0.20606060606060606,-204.4544117647059,1.6926474068382353,0.2524234342774647,0.8376741368867353,9999,0.4991830065359477,42.13,0
ALG,33.3308001775043,9999,9999,3.449776016540317,7.006251966537645,0.7251551079266579,9999,4.16287166454892,2.4378398983481575,1.025580513622049,24.17,0
ALGN,12.414785536886914,3436198166.72,9999,2.3168965053927617,18.57657426640377,3.4668339515104143,9999,2.6894831162600363,2.6129143324819735,9999,43.04,0
ALGT,29.45793510835271,1427831810.22,0.04730249005279792,13.382290206593943,5.531190764606767,2.5127355236454383,3.501330313708102,1.074207555141538,9999,2.4156436989835774,74.02,0
ALJJ,1.9963014955995897,9999,9999,0.2980874951872853,13.083406929061786,1.9536127226256643,9999,1.5179711038884012,1.3074660150411614,2.10089658809688,3.9,1
ALK,23.820573396066965,4274586949.5,0.03181593955315565,6.543040182626379,4.67519671990172,1.2841840324906175,0.9732495909310314,0.8086785009861933,0.790138067061144,1.6018423746161718,30.59,0
ALKS,7.865216617451119,4478054116.059999,9999,-1.369918111436796,-20.833362054076872,3.6286349617728595,9999,3.7297363592194084,3.432566169637677,0.8857882017162734,28.54,0
ALLE,1.2247134549292822,9326929691.68,0.004931955265089418,2.361855670103093,42.03474465298996,81.06385995876289,0.48964451871807746,1.9304003724394785,1.416899441340782,19.286082474226806,99.28,1
